diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2,z_chi2,z_stetson,VarIndex
579576630817594587,-72.29654112112401,5.71244357189587,1846.3,-99743557.55596684,546762.0,1727889.375,15187.244140625,70.70001983642578,11893.28515625,4.0,787497.2645728195,339.0385435001965,482363.0,9.058930676238132,12.74567838574105,21.804609061979182
628762458852426088,-10.42319449046714,106.14516054034164,1367.71,-28749.776476900115,40535.9,133511.765625,-111888.1796875,293.7696228027344,-573778.875,15.0,165652.6277011136,103.97490471596832,761798.0,14.36279778275855,3.686323820725169,18.04912160348372
614436165939888139,-25.07897624473494,95.53751709833908,1974.76,112982595.16793495,412145.0,-13948.9658203125,-526206.75,1364.801025390625,-838238.4375,2.0,582860.6750853837,262.2545437860225,85812.1,1.5321238175015117,9.786422407536339,11.318546225037851
579575325147529607,-72.50092488448833,5.516799651978169,1904.21,18503.76878116006,69932.9,179308.109375,94389.515625,945.9415893554688,28112.341796875,4.0,83627.79255452826,41.46397056001757,5817.99,0.013780987346462877,1.2771519060976109,1.2909328934440738
628769055922193502,-10.61701907720984,106.70783542725474,476.855,1025.066501025104,18273.6,10188.6650390625,-4932.42041015625,223.48403930664065,-30994.765625,4.0,22274.615541944517,40.32040990793973,6432.19,0.025438922740471645,1.233079069195415,1.2585179919358866
630407465686532255,-10.16777402781028,105.84659374770528,2043.37,15714.14539215656,21794.6,615410.3125,475374.53125,1171.397705078125,411568.6875,3.0,111928.19422180991,37.79279053045527,5544.98,0.008599071127123352,1.1356645976741275,1.1442636688012509
614437059293090505,-24.92786055952521,95.0734722412283,179.829,-1173.5881436344257,3938.22,1798.9014892578125,-5036.0234375,79.61199951171875,-16876.314453125,5.0,7697.260787458109,32.25214560146986,6958.57,0.035429974568375155,0.9221280967072075,0.9575580712755827
579578623682412873,-71.78158921866573,6.560531865451006,916.894,7639.109912298471,22949.7,48685.7578125,27943.212890625,646.085693359375,2786.30908203125,2.0,32455.811450038724,33.24248185067832,1250.08,-0.07292106355820434,0.9602956638671918,0.8873746003089874
579578005207122886,-71.91193018114373,6.0105113223945885,390.391,-18400343.543880045,1847.17,16083.15234375,5771.03466796875,193.1893768310547,-836.2512817382812,3.0,9281.258322009422,28.177015270343475,1736.32,-0.06369189633908544,0.7650725403512001,0.7013806440121146
628767200496320531,-11.023921803435409,106.19840332623872,784.577,4477.628525427915,15811.3,38589.625,22623.201171875,554.760009765625,6966.9267578125,2.0,22360.624366466694,27.82332312374845,812.243,-0.0812315087863167,0.7514412421230333,0.6702097333367166
592915356129951796,-48.36608666744314,58.93123741388444,1439.11,646663.5874523075,15529.4,23976.72265625,-40259.703125,639.6068115234375,-74975.140625,5.0,43069.39822981642,24.42280544800536,3786.02,-0.024787190743025884,0.6203852630337343,0.5955980722907084
579578005207122378,-71.81677746128352,5.971026502066141,613.582,4072998.068925296,10987.2,16467.060546875,-5519.5146484375,306.7166748046875,-22352.76171875,4.0,17060.277478342057,24.589631813238935,2286.89,-0.05324170179353121,0.6268147525169252,0.573573050723394
579585358191132675,-71.96372496694218,6.936315322895481,570.785,3558.829373661612,8833.71,30518.9296875,11318.7216796875,192.29454040527344,5010.64306640625,5.0,11753.895711094094,23.35876276830213,2642.05,-0.04650052247973088,0.5793770494384806,0.5328765269587497
611255965995499571,-27.782498704993703,52.607306638191645,940.077,-2041.9191088317264,11869.4,68365.0,9562.2373046875,253.7284393310547,-23769.10546875,13.0,24053.037109375,19.291553347883628,9316.98,0.08019420676079493,0.42262676504606433,0.5028209718068593
